Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1343295211000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1343295425000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1343295629000	Two Door Cinema Club	Do You Want It All?	Tourist History [Promo]	e979607c-d921-46ba-bd96-4e5441b7d0db	6f1de078-6684-4792-820d-2ffad64c15ed	
1343295839000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343296049000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1343312449000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343312660000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343312870000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343313081000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1343313301000	Goo Goo Dolls	Here Is Gone	Greatest Hits Vol.1 The Singles	45294873-f340-4172-ada4-a1b2a9ed055d	e2c00c56-8365-4160-9f40-a64682917633	
1343313560000	Indian Ocean	Bandeh	Black Friday	475e6dbd-0535-4d9a-86ad-f32ddec7ad07	cf8b9160-72b3-4b0d-b2c9-88bb1b7aa80f	c6c63907-44c1-4d67-b4aa-f65187023013
1343325488000	The Raveonettes	D.R.U.G.S.	In and Out of Control	18598f4c-a22c-4d6e-af94-55cdc02d2e04	79255a50-40df-447f-9612-2cf669080196	fe4c0d1b-06b3-349a-b228-cf5f18847073
1343325758000	The Raveonettes	D.R.U.G.S.	In and Out of Control	18598f4c-a22c-4d6e-af94-55cdc02d2e04	79255a50-40df-447f-9612-2cf669080196	fe4c0d1b-06b3-349a-b228-cf5f18847073
1343326028000	The Raveonettes	D.R.U.G.S.	In and Out of Control	18598f4c-a22c-4d6e-af94-55cdc02d2e04	79255a50-40df-447f-9612-2cf669080196	fe4c0d1b-06b3-349a-b228-cf5f18847073
1343384217000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343384410000	Two Door Cinema Club	Eat That Up, It's Good for You	Tourist History [Promo]	65cdbcdd-8d91-4b60-a9f2-6c52fbc8943b	6f1de078-6684-4792-820d-2ffad64c15ed	
1343384635000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
1343384826000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1343385040000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1343385330000	Coldplay	Hurts Like Heaven	Mylo Xyloto	f2a03739-b82f-410b-82dd-cfab7a44dc24	cc197bad-dc9c-440d-a5b5-d52ba2e14234	e517d946-2933-4176-b57a-9cca2beada94
1343531463000	Two Door Cinema Club	Costume Party	Tourist History	e7f638fa-9033-44f5-87ec-c7ff79102680	6f1de078-6684-4792-820d-2ffad64c15ed	d9abf895-1404-43d7-8125-fb83b1a8bf34
1343531681000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
